
Japanese,Hiragana,Burmese,Tags
"~号","~号[ごう]","နံပါတ် (မီးရထားတွဲများ၏နံပါတ်တွင်သုံးသည်)","Minna_no_Nihongo_2::Lesson_31"
"~のほう","~のほう","--ဘက်သို့","Minna_no_Nihongo_2::Lesson_31"
"ずっと","ずっと","တောက်လျှောက်","Minna_no_Nihongo_2::Lesson_31"
"バリ","バリ","Bali ကျွန်း (အင်ဒိုနီးရှားနိုင်ငံရှိကျွန်း)","Minna_no_Nihongo_2::Lesson_31"
"ピカソ","ピカソ","Picasso (ကမ္ဘာကျော်ပန်းချီဆရာ)","Minna_no_Nihongo_2::Lesson_31"
"のぞみ","のぞみ","Nozomi (ကျည်ဆန်ရထား၏အမည်)","Minna_no_Nihongo_2::Lesson_31"
"新神戸","新[しん]神[こう]戸[べ]","Shinkobe, Hyogoခရိုင်မှ မြို့အမည်","Minna_no_Nihongo_2::Lesson_31"
"残ります","残[のこ]ります","ကျန်ခဲ့တယ်","Minna_no_Nihongo_2::Lesson_31"
"入学試験","入[にゅう]学[がく]試[し]験[けん]","ဝင်ခွင့်စာမေးပွဲ","Minna_no_Nihongo_2::Lesson_31"
"月に","月[つき]に","တစ်လကို--","Minna_no_Nihongo_2::Lesson_31"
"村","村[むら]","ကျေးရွာ","Minna_no_Nihongo_2::Lesson_31"
"卒業します","卒[そつ]業[ぎょう]します","ကျောင်းပြီးသည် (ဘွဲ့ရသည်)","Minna_no_Nihongo_2::Lesson_31"
"映画館","映[えい]画[が]館[かん]","ရုပ်ရှင်ရုံ","Minna_no_Nihongo_2::Lesson_31"
"嫌","嫌[いや]","မကြိုက်သော၊ မနှစ်မြို့သော","Minna_no_Nihongo_2::Lesson_31"
"空","空[そら]","ကောင်းကင်","Minna_no_Nihongo_2::Lesson_31"
"閉じます","閉[と]じます","ပိတ်သည်","Minna_no_Nihongo_2::Lesson_31"
"都会","都[と]会[かい]","မြို့ပြ","Minna_no_Nihongo_2::Lesson_31"
"子どもたち","子[こ]どもたち","ကလေးများ","Minna_no_Nihongo_2::Lesson_31"
"自由に","自[じ]由[ゆう]に","လွပ်လပ်စွာ","Minna_no_Nihongo_2::Lesson_31"
"運動します","運[うん]動[どう]します","လေ့ကျင့်ခန်းလုပ်သည်။ ကိုယ်လက်လှုပ်ရှားလုပ်သည်","Minna_no_Nihongo_2::Lesson_32"
"成功します","成[せい]功[こう]します","အောင်မြင်သည်။ အောင်မြင်မှုရသည်","Minna_no_Nihongo_2::Lesson_32"
"失敗します","失[しっ]敗[ぱい]します","ကျရှုံးသည်။ ရှုံးနိမ့်သည်","Minna_no_Nihongo_2::Lesson_32"
"合格します","合[ごう]格[かく]します","စာမေးပွဲအောင်သည်","Minna_no_Nihongo_2::Lesson_32"
"戻ります","戻[もど]ります","ပြန်သည်","Minna_no_Nihongo_2::Lesson_32"
"やみます","やみます","ရပ်သည်။ မိုးတိတ်သည်","Minna_no_Nihongo_2::Lesson_32"
"晴れます","晴[は]れます","ရာသီဥတု သာယာသည်","Minna_no_Nihongo_2::Lesson_32"
"曇ります","曇[くも]ります","မိုးအုံသည်။ တိမ်ထူသည်","Minna_no_Nihongo_2::Lesson_32"
"吹きます","吹[ふ]きます","တိုက်သည် (လေ)","Minna_no_Nihongo_2::Lesson_32"
"治ります","治[なお]ります","ပျောက်သည် (ရောဂါ)","Minna_no_Nihongo_2::Lesson_32"
"続きます","続[つづ]きます","ဆက်လက်ဖြစ်သည် (အဖျား)","Minna_no_Nihongo_2::Lesson_32"
"ひきます","ひきます","ဖမ်းသည် (အအေး)","Minna_no_Nihongo_2::Lesson_32"
"冷やします","冷[ひ]やします","အအေးခံသည်","Minna_no_Nihongo_2::Lesson_32"
"心配","心[しん]配[ぱい]","စိတ်ပူခြင်း","Minna_no_Nihongo_2::Lesson_32"
"十分","十[じゅう]分[ぶん]","လုံလောက်သော","Minna_no_Nihongo_2::Lesson_32"
"おかしい","おかしい","ရယ်စရာကောင်းသော။ တစ်မျိုးထူးဆန်းသော။ မသင်္ကာဖွယ်ရာ ကောင်းသော","Minna_no_Nihongo_2::Lesson_32"
"うるさい","うるさい","ဆူညံသော။ နားငြီးသော။ နားကလောသော","Minna_no_Nihongo_2::Lesson_32"
"火傷","火[や]傷[けど]","အပူလောင်ခြင်း","Minna_no_Nihongo_2::Lesson_32"
"けが","けが","ဒဏ်ရာ","Minna_no_Nihongo_2::Lesson_32"
"咳","咳[せき]","ချောင်းဆိုးခြင်း","Minna_no_Nihongo_2::Lesson_32"
"インフルエンザ","インフルエンザ","အအေးမိခြင်း။ တုပ်ကွေးဖြစ်ခြင်း။","Minna_no_Nihongo_2::Lesson_32"
"空","空[そら]","ကောင်းကင်","Minna_no_Nihongo_2::Lesson_32"
"太陽","太[たい]陽[よう]","နေ","Minna_no_Nihongo_2::Lesson_32"
"星","星[ほし]","ကြယ်","Minna_no_Nihongo_2::Lesson_32"
"月","月[つき]","လ","Minna_no_Nihongo_2::Lesson_32"
"風","風[かぜ]","လေ","Minna_no_Nihongo_2::Lesson_32"
"北","北[きた]","မြောက်အရပ်","Minna_no_Nihongo_2::Lesson_32"
"南","南[みなみ]","တောင်အရပ်","Minna_no_Nihongo_2::Lesson_32"
"西","西[にし]","အနောက်အရပ်","Minna_no_Nihongo_2::Lesson_32"
"東","東[ひがし]","အရှေ့အရပ်","Minna_no_Nihongo_2::Lesson_32"
"水道","水[すい]道[どう]","ရေဘုံပိုင်","Minna_no_Nihongo_2::Lesson_32"
"エンジン","エンジン","အင်ဂျင်","Minna_no_Nihongo_2::Lesson_32"
"チーム","チーム","အဖွဲ့","Minna_no_Nihongo_2::Lesson_32"
"今夜","今[こん]夜[や]","ဒီည","Minna_no_Nihongo_2::Lesson_32"
"夕方","夕[ゆう]方[がた]","ညနေခင်း","Minna_no_Nihongo_2::Lesson_32"
"前","前[まえ]","ရှေ့","Minna_no_Nihongo_2::Lesson_32"
"遅く","遅[おそ]く","နောက်ကျခြင်း","Minna_no_Nihongo_2::Lesson_32"
"こんなに","こんなに","ဒါလောက်တောင်","Minna_no_Nihongo_2::Lesson_32"
"そんなに","そんなに","အဲဒီလောက်တောင်","Minna_no_Nihongo_2::Lesson_32"
"あんなに","あんなに","အဲဒီလောက်တောင်၊ အလွန်","Minna_no_Nihongo_2::Lesson_32"
"もしかしたら","もしかしたら","အကယ်၍။ မဟုတ်မှလွဲရော--","Minna_no_Nihongo_2::Lesson_32"
"それはいけませんね","それはいけませんね","ဒါတော့ မရဘူးလေ","Minna_no_Nihongo_2::Lesson_32"
"元気","元[げん]気[き]","ကျန်းမာခြင်း၊ ရွှင်လန်းခြင်း","Minna_no_Nihongo_2::Lesson_32"
"胃","胃[い]","အစာအိမ်","Minna_no_Nihongo_2::Lesson_32"
"働きすぎ","働[はたら]きすぎ","အလုပ်လုပ်ချိန်များခြင်း","Minna_no_Nihongo_2::Lesson_32"
"ストレス","ストレス","စိတ်ဖိစီးခြင်း","Minna_no_Nihongo_2::Lesson_32"
"無理をします","無[む]理[り]をします","အလွန်အကျွံလုပ်သည် (မိမိဝန်နှင့်မမျှသော အလုပ်ကိုလုပ်ခြင်း)","Minna_no_Nihongo_2::Lesson_32"
"ゆっくりします","ゆっくりします","ဖြည်းဖြည်းလုပ်သည်။","Minna_no_Nihongo_2::Lesson_32"
"逃げます","逃[に]げます","ထွက်ပြေးသည်","Minna_no_Nihongo_2::Lesson_33"
"騒ぎます","騒[さわ]ぎます","ဆူညံသည်","Minna_no_Nihongo_2::Lesson_33"
"あきらめます","あきらめます","လက်လျော့သည်","Minna_no_Nihongo_2::Lesson_33"
"投げます","投[な]げます","ပစ်ပေါက်သည်","Minna_no_Nihongo_2::Lesson_33"
"守ります","守[まも]ります","ထိန်းသိမ်းသည်","Minna_no_Nihongo_2::Lesson_33"
"上げます","上[あ]げます","မြှင့်သည်","Minna_no_Nihongo_2::Lesson_33"
"下げます","下[さ]げます","နှိမ့်သည်။ အောက်သို့ချသည်","Minna_no_Nihongo_2::Lesson_33"
"伝えます","伝[つた]えます","တဆင့်ပြောကြားသည်","Minna_no_Nihongo_2::Lesson_33"
"注意します","注[ちゅう]意[い]します","သတိပေးသည်","Minna_no_Nihongo_2::Lesson_33"
"外します","外[はず]します","ဖယ်သည် (နေရာ)","Minna_no_Nihongo_2::Lesson_33"
"だめ","だめ","မကောင်းသော။ မရသော","Minna_no_Nihongo_2::Lesson_33"
"せき","せき","ထိုင်ခုံ","Minna_no_Nihongo_2::Lesson_33"
"ファイト","ファイト","ကြိုးစားထား-","Minna_no_Nihongo_2::Lesson_33"
"マーク","マーク","အမှတ်အသား","Minna_no_Nihongo_2::Lesson_33"
"ボール","ボール","ဘောလုံး","Minna_no_Nihongo_2::Lesson_33"
"洗濯機","洗[せん]濯[たく]機[き]","အဝတ်လျှော်စက်","Minna_no_Nihongo_2::Lesson_33"
"~機","~機[き]","-စက်","Minna_no_Nihongo_2::Lesson_33"
"規則","規[き]則[そく]","စည်းမျဉ်း","Minna_no_Nihongo_2::Lesson_33"
"使用禁止","使[し]用[よう]禁[きん]止[し]","အသုံးမပြုရ","Minna_no_Nihongo_2::Lesson_33"
"立ち入り禁止","立[た]ち入[い]り禁[きん]止[し]","မဝင်ရ","Minna_no_Nihongo_2::Lesson_33"
"入り口","入[い]り口[ぐち]","ဝင်ပေါက်","Minna_no_Nihongo_2::Lesson_33"
"出口","出[で]口[ぐち]","ထွက်ပေါက်","Minna_no_Nihongo_2::Lesson_33"
"非常口","非[ひ]常[じょう]口[ぐち]","အရေးပေါ်ထွက်ပေါက်","Minna_no_Nihongo_2::Lesson_33"
"無料","無[む]料[りょう]","အခမဲ့","Minna_no_Nihongo_2::Lesson_33"
"本日休業","本[ほん]日[じつ]休[きゅう]業[ぎょう]","ယနေ့ ပိတ်သည်","Minna_no_Nihongo_2::Lesson_33"
"営業中","営[えい]業[ぎょう]中[ちゅう]","ဆိုင်ဖွင့်သည်။ အလုပ်ချိန်","Minna_no_Nihongo_2::Lesson_33"
"使用中","使[し]用[よう]中[ちゅう]","အသုံးပြုနေသည်","Minna_no_Nihongo_2::Lesson_33"
"~中","~中[ちゅう]","-ပြုလုပ်နေဆဲ","Minna_no_Nihongo_2::Lesson_33"
"どういう","どういう","ဘယ်လိုလဲဆိုရင်","Minna_no_Nihongo_2::Lesson_33"
"もう〜","もう〜","တော်ပြီ မ--နိုင်တော့ဘူး","Minna_no_Nihongo_2::Lesson_33"
"あと","あと","နောက်","Minna_no_Nihongo_2::Lesson_33"
"駐車違反","駐[ちゅう]車[しゃ]違[い]反[はん]","ရပ်ခွင့်မရှိသော နေရာတွင် ကားရပ်နားခြင်း","Minna_no_Nihongo_2::Lesson_33"
"そりゃあ","そりゃあ","အဲဒါကတော့","Minna_no_Nihongo_2::Lesson_33"
"~以内","~以[い]内[ない]","အတွင်း","Minna_no_Nihongo_2::Lesson_33"
"警察","警[けい]察[さつ]","ရဲဌာန","Minna_no_Nihongo_2::Lesson_33"
"罰金","罰[ばっ]金[きん]","ဒဏ်ငွေ","Minna_no_Nihongo_2::Lesson_33"
"磨きます","磨[みが]きます","ပြောင်လက်လာအောင် ပွတ်တိုက်သည်","Minna_no_Nihongo_2::Lesson_34"
"組み立てます","組[く]み立[た]てます","တပ်ဆင်သည်","Minna_no_Nihongo_2::Lesson_34"
"折ります","折[お]ります","ခေါက်သည်","Minna_no_Nihongo_2::Lesson_34"
"気が付きます","気[き]が付[つ]きます","သတိရသည် (မေ့လျှော့နေသော အရာကို)","Minna_no_Nihongo_2::Lesson_34"
"付けます","付[つ]けます","ကပ်သည်။ အရသာ တစ်ခုခုကို ထည့်သည်","Minna_no_Nihongo_2::Lesson_34"
"見つかります","見[み]つかります","ရှာဖွေတွေ့ သည်","Minna_no_Nihongo_2::Lesson_34"
"質問します","質[しつ]問[もん]します","မေးခွန်းမေးသည်","Minna_no_Nihongo_2::Lesson_34"
"細い","細[ほそ]い","သေးသွယ်သော","Minna_no_Nihongo_2::Lesson_34"
"太い","太[ふと]い","တုတ်ခိုင်သော၊ ဝသော","Minna_no_Nihongo_2::Lesson_34"
"盆踊り","盆[ぼん]踊[おど]り","ဂျပန် ဘွန်းအက","Minna_no_Nihongo_2::Lesson_34"
"スポーツクラブ","スポーツクラブ","အားကစား ကလပ်","Minna_no_Nihongo_2::Lesson_34"
"家具","家[か]具[ぐ]","အိမ်ထောင် ပရိဘောက","Minna_no_Nihongo_2::Lesson_34"
"キー","キー","သော့","Minna_no_Nihongo_2::Lesson_34"
"シートベルト","シートベルト","ထိုင်ခုံခါးပတ်","Minna_no_Nihongo_2::Lesson_34"
"説明書","説[せつ]明[めい]書[しょ]","ရှင်းလင်းညွန်ကြားစာ","Minna_no_Nihongo_2::Lesson_34"
"図","図[ず]","ပုံ","Minna_no_Nihongo_2::Lesson_34"
"線","線[せん]","မျဉ်းကြောင်း","Minna_no_Nihongo_2::Lesson_34"
"矢印","矢[や]印[じるし]","မြှား","Minna_no_Nihongo_2::Lesson_34"
"黒","黒[くろ]","အနက်","Minna_no_Nihongo_2::Lesson_34"
"白","白[しろ]","အဖြူ","Minna_no_Nihongo_2::Lesson_34"
"赤","赤[あか]","အနီ","Minna_no_Nihongo_2::Lesson_34"
"青","青[あお]","အပြာ","Minna_no_Nihongo_2::Lesson_34"
"紺","紺[こん]","နက်ပြာ","Minna_no_Nihongo_2::Lesson_34"
"黄色","黄[き]色[いろ]","အဝါရောင်","Minna_no_Nihongo_2::Lesson_34"
"茶色","茶[ちゃ]色[いろ]","အညိုရောင်","Minna_no_Nihongo_2::Lesson_34"
"しょう油","しょう油[ゆ]","ဂျပန်ပဲငံပြာရည် shouyu","Minna_no_Nihongo_2::Lesson_34"
"ソース","ソース","Sauce","Minna_no_Nihongo_2::Lesson_34"
"~か ~","~か ~","-သို့မဟုတ်/ ဒါမှမဟုတ် --","Minna_no_Nihongo_2::Lesson_34"
"夕べ","夕[ゆう]べ","ညနေခင်း","Minna_no_Nihongo_2::Lesson_34"
"さっき","さっき","စောန","Minna_no_Nihongo_2::Lesson_34"
"茶道","茶[さ]道[どう]","ဂျပန် ရေနွေးထည့် အနုပညာ","Minna_no_Nihongo_2::Lesson_34"
"お茶をたてます","お茶[ちゃ]をたてます","ရေနွေးကြမ်းဖျော်သည်၊ ပြင်ဆင်သည်","Minna_no_Nihongo_2::Lesson_34"
"先に","先[さき]に","အရင်","Minna_no_Nihongo_2::Lesson_34"
"載せます","載[の]せます","တင်သည်","Minna_no_Nihongo_2::Lesson_34"
"これでいいですか","これでいいですか","ဒီလိုဆို ရပြီလား","Minna_no_Nihongo_2::Lesson_34"
"苦い","苦[にが]い","ခါးသော","Minna_no_Nihongo_2::Lesson_34"
"咲きます","咲[さ]きます","ပန်းပွင့်သည်","Minna_no_Nihongo_2::Lesson_35"
"変わります","変[か]わります","ပြောင်းလဲသည်","Minna_no_Nihongo_2::Lesson_35"
"困ります","困[こま]ります","ဒုက္ခရောက်သည်","Minna_no_Nihongo_2::Lesson_35"
"付けます","付[つ]けます","မီးဖွင့်သည်။ အဲယားကွန်းဖွင့်သည်။ တီဗီဖွင့်သည်","Minna_no_Nihongo_2::Lesson_35"
"拾います","拾[ひろ]います","ကောက်ယူသည်","Minna_no_Nihongo_2::Lesson_35"
"かかります","かかります","အချိန်ကြာသည်။ ဖုန်းလာသည်","Minna_no_Nihongo_2::Lesson_35"
"楽","楽[らく]","သက်သာသော","Minna_no_Nihongo_2::Lesson_35"
"正しい","正[ただ]しい","မှန်ကန်သော","Minna_no_Nihongo_2::Lesson_35"
"珍しい","珍[めずら]しい","ထူးဆန်းသော","Minna_no_Nihongo_2::Lesson_35"
"方","方[かた]","ပုဂ္ဂိုလ်","Minna_no_Nihongo_2::Lesson_35"
"向こう","向[む]こう","ဟိုဘက်","Minna_no_Nihongo_2::Lesson_35"
"島","島[しま]","ကျွန်း","Minna_no_Nihongo_2::Lesson_35"
"村","村[むら]","ရွာ","Minna_no_Nihongo_2::Lesson_35"
"港","港[みなと]","ပင်လယ်ဝ၊ ဆိပ်ကမ်း","Minna_no_Nihongo_2::Lesson_35"
"近所","近[きん]所[じょ]","အိမ်နီးနားခြင်း","Minna_no_Nihongo_2::Lesson_35"
"屋上","屋[おく]上[じょう]","အဆောက်အဦး၏အမိုးပေါ်","Minna_no_Nihongo_2::Lesson_35"
"海外","海[かい]外[がい]","ပင်လယ်ရပ်ခြား၊ နိုင်ငံခြား","Minna_no_Nihongo_2::Lesson_35"
"山登り","山[やま]登[のぼ]り","တောင်တက်ခြင်း","Minna_no_Nihongo_2::Lesson_35"
"ハイキング","ハイキング","တောင်တက် လမ်းလျှောက်ခြင်း","Minna_no_Nihongo_2::Lesson_35"
"機会","機[き]会[かい]","အခွင့်အခါ၊ အခွင့်အရေး","Minna_no_Nihongo_2::Lesson_35"
"許可","許[きょ]可[か]","ခွင့်ပြုချက်","Minna_no_Nihongo_2::Lesson_35"
"丸","丸[まる]","အဝိုင်း","Minna_no_Nihongo_2::Lesson_35"
"操作","操[そう]作[さ]","ကိုင်တွယ်ပုံ","Minna_no_Nihongo_2::Lesson_35"
"方法","方[ほう]法[ほう]","နည်းလမ်း","Minna_no_Nihongo_2::Lesson_35"
"設備","設[せつ]備[び]","အဆောက်အအုံရဲ့ အပြင်အဆင်၊လိုက်ကာ","Minna_no_Nihongo_2::Lesson_35"
"カーテン","カーテン","လိုက်ကာ","Minna_no_Nihongo_2::Lesson_35"
"ひも","ひも","ကြိုး","Minna_no_Nihongo_2::Lesson_35"
"ふた","ふた","အဖုံး","Minna_no_Nihongo_2::Lesson_35"
"葉","葉[は]","သစ်ရွက်","Minna_no_Nihongo_2::Lesson_35"
"曲","曲[きょく]","သီချင်း","Minna_no_Nihongo_2::Lesson_35"
"楽しみ","楽[たの]しみ","ပျော်ရွှင်စွာဖြင့်","Minna_no_Nihongo_2::Lesson_35"
"もっと","もっと","ပိုပြီး","Minna_no_Nihongo_2::Lesson_35"
"始めに","始[はじ]めに","ပထမဆုံး","Minna_no_Nihongo_2::Lesson_35"
"これで終わります","これで終[お]わります","ဒီမှာဘဲပြီးဆုံးပါပြီ","Minna_no_Nihongo_2::Lesson_35"
"それなら","それなら","ဒါဆိုရင်","Minna_no_Nihongo_2::Lesson_35"
"夜行バス","夜[や]行[こう]バス","ညကား","Minna_no_Nihongo_2::Lesson_35"
"旅行社","旅[りょ]行[こう]社[しゃ]","ခရီးသွားကုမ္ပဏီ","Minna_no_Nihongo_2::Lesson_35"
"詳しい","詳[くわ]しい","အသေးစိတ်သော","Minna_no_Nihongo_2::Lesson_35"
"スキー場","スキー場[じょう]","စကိတ်ကွင်း","Minna_no_Nihongo_2::Lesson_35"
"届きます","届[とど]きます","ရောက်သည် (စာ)","Minna_no_Nihongo_2::Lesson_36"
"出ます","出[で]ます","ပါဝင်သည် (ပြိုင်ပွဲ)","Minna_no_Nihongo_2::Lesson_36"
"打ちます","打[う]ちます","ရိုက်သည် (ကီးဘုတ်)","Minna_no_Nihongo_2::Lesson_36"
"貯金します","貯[ちょ]金[きん]します","ငွေစုဆောင်းသည်","Minna_no_Nihongo_2::Lesson_36"
"太ります","太[ふと]ります","ဝသည် (ခန္ဓာကိုယ်)","Minna_no_Nihongo_2::Lesson_36"
"痩せます","痩[や]せます","ပိန်သည် (ခန္တာကိုယ်)","Minna_no_Nihongo_2::Lesson_36"
"過ぎます","過[す]ぎます","ကျော်လွန်သည် (အချိန်)","Minna_no_Nihongo_2::Lesson_36"
"慣れます","慣[な]れます","ကျင့်သားရသည်","Minna_no_Nihongo_2::Lesson_36"
"硬い","硬[かた]い","မာကျောသော","Minna_no_Nihongo_2::Lesson_36"
"軟らかい","軟[やわ]らかい","ပျော့ပျောင်းသော","Minna_no_Nihongo_2::Lesson_36"
"電子","電[でん]子[し]","အီလက်ထရွန်","Minna_no_Nihongo_2::Lesson_36"
"携帯","携[けい]帯[たい]","လက်ဖြင့်ကိုင်ဆောင်နိုင်သောအရာ၊ လက်ကိုင်ဖုန်း","Minna_no_Nihongo_2::Lesson_36"
"工場","工[こう]場[じょう]","စက်ရုံ","Minna_no_Nihongo_2::Lesson_36"
"健康","健[けん]康[こう]","ကျန်းမာရေး","Minna_no_Nihongo_2::Lesson_36"
"剣道","剣[けん]道[どう]","Kendou ကင်ဒို","Minna_no_Nihongo_2::Lesson_36"
"毎週","毎[まい]週[しゅう]","အပတ်တိုင်း","Minna_no_Nihongo_2::Lesson_36"
"毎月","毎[まい]月[つき]","လတိုင်း","Minna_no_Nihongo_2::Lesson_36"
"毎年","毎[まい]年[とし]","နှစ်တိုင်း","Minna_no_Nihongo_2::Lesson_36"
"やっと","やっと","အခုမှဘဲ","Minna_no_Nihongo_2::Lesson_36"
"かなり","かなり","အတော်အတန်","Minna_no_Nihongo_2::Lesson_36"
"必ず","必[かなら]ず","သေချာစွာ","Minna_no_Nihongo_2::Lesson_36"
"絶対に","絶[ぜっ]対[たい]に","ဆက်ဆက်","Minna_no_Nihongo_2::Lesson_36"
"上手に","上[じょう]手[ず]に","ပြောင်မြောက်စွာ။ ကောင်းမွန်စွာ","Minna_no_Nihongo_2::Lesson_36"
"できるだけ","できるだけ","တတ်နိုင်သလောက်","Minna_no_Nihongo_2::Lesson_36"
"このごろ","このごろ","ဒီတလော","Minna_no_Nihongo_2::Lesson_36"
"~ずつ","~ずつ","-ခြင်းစီ (တစ်ခုခြင်းစီ)","Minna_no_Nihongo_2::Lesson_36"
"そのほうが","そのほうが","အဲဒီလိုက","Minna_no_Nihongo_2::Lesson_36"
"お客様","お客[きゃく]様[さま]","ဧည့်သည်တော်","Minna_no_Nihongo_2::Lesson_36"
"特別","特[とく]別[べつ]","အထူးသဖြင့်","Minna_no_Nihongo_2::Lesson_36"
"いらっしゃいます","いらっしゃいます","-လုပ်နေပါတယ်","Minna_no_Nihongo_2::Lesson_36"
"水泳","水[すい]泳[えい]","ရေကူးခြင်း","Minna_no_Nihongo_2::Lesson_36"
"~とか〜とか","~とか〜とか","--တို့--တို့","Minna_no_Nihongo_2::Lesson_36"
"タンゴ","タンゴ","Tangoအနောက်တိုင်းအက","Minna_no_Nihongo_2::Lesson_36"
"チャレンジします","チャレンジします","စိန်ခေါ်ခြင်း (အသစ်အဆန်းများကို ကြိုးစာလုပ်လေ့ရှိသူ)","Minna_no_Nihongo_2::Lesson_36"
"気持ち","気[き]持[も]ち","စိတ်သဘောထား","Minna_no_Nihongo_2::Lesson_36"
"ほめます","ほめます","ချီးမွမ်းသည်","Minna_no_Nihongo_2::Lesson_37"
"しかります","しかります","ဆူပူသည်။ ကြိမ်းမောင်းသည်","Minna_no_Nihongo_2::Lesson_37"
"誘います","誘[さそ]います","ဖိတ်ခေါ်သည်","Minna_no_Nihongo_2::Lesson_37"
"起こします","起[お]こします","နိုးသည်။ နိုးထစေသည်","Minna_no_Nihongo_2::Lesson_37"
"招待します","招[しょう]待[たい]します","ဖိတ်ကြားသည်","Minna_no_Nihongo_2::Lesson_37"
"頼みます","頼[たの]みます","တောင်းဆိုသည်","Minna_no_Nihongo_2::Lesson_37"
"注意します","注[ちゅう]意[い]します","ဂရုပြုသည်","Minna_no_Nihongo_2::Lesson_37"
"取ります","取[と]ります","ယူသည် (သူခိုး)","Minna_no_Nihongo_2::Lesson_37"
"踏みます","踏[ふ]みます","နင်းသည်","Minna_no_Nihongo_2::Lesson_37"
"壊します","壊[こわ]します","ဖျက်စီးသည်","Minna_no_Nihongo_2::Lesson_37"
"汚します","汚[よご]します","ညစ်ပေစေသည်","Minna_no_Nihongo_2::Lesson_37"
"行います","行[おこな]います","ကျင်းပသည်","Minna_no_Nihongo_2::Lesson_37"
"輸出します","輸[ゆ]出[しゅつ]します","နိုင်ငံခြားသို့ပို့သည်","Minna_no_Nihongo_2::Lesson_37"
"輸入します","輸[ゆ]入[にゅう]します","နိုင်ငံခြားမှ သွင်းသည်","Minna_no_Nihongo_2::Lesson_37"
"翻訳します","翻[ほん]訳[やく]します","ဘာသာပြန်သည်","Minna_no_Nihongo_2::Lesson_37"
"発明します","発[はつ]明[めい]します","တီထွင်သည်","Minna_no_Nihongo_2::Lesson_37"
"発見します","発[はっ]見[けん]します","တွေ့ရှိသည်","Minna_no_Nihongo_2::Lesson_37"
"設計します","設[せっ]計[けい]します","ဒီဇိုင်းဆွဲသည်","Minna_no_Nihongo_2::Lesson_37"
"米","米[こめ]","ဆန်","Minna_no_Nihongo_2::Lesson_37"
"麦","麦[むぎ]","ဂျုံ","Minna_no_Nihongo_2::Lesson_37"
"石油","石[せき]油[ゆ]","ရေနံ","Minna_no_Nihongo_2::Lesson_37"
"原料","原[げん]料[りょう]","ကုန်ကြမ်း","Minna_no_Nihongo_2::Lesson_37"
"デート","デート","ချစ်သူနှစ်ယောက်တွေ့ဆုံသည်","Minna_no_Nihongo_2::Lesson_37"
"泥棒","泥[どろ]棒[ぼう]","သူခိုး","Minna_no_Nihongo_2::Lesson_37"
"警官","警[けい]官[かん]","ရဲ","Minna_no_Nihongo_2::Lesson_37"
"建築家","建[けん]築[ちく]家[か]","ဆောက်လုပ်ရေးပညာရှင်","Minna_no_Nihongo_2::Lesson_37"
"科学者","科[か]学[がく]者[しゃ]","သိပ္ပံပညာရှင်","Minna_no_Nihongo_2::Lesson_37"
"マンガ","マンガ","ကာတွန်း","Minna_no_Nihongo_2::Lesson_37"
"世界中","世[せ]界[かい]中[じゅう]","နိုင်ငံတစ်ဝန်း","Minna_no_Nihongo_2::Lesson_37"
"~中","~中[じゅう]","-တစ်ဝန်း","Minna_no_Nihongo_2::Lesson_37"
"によって","によって","-နှင့်လိုက်ပြီး","Minna_no_Nihongo_2::Lesson_37"
"よかったですね","よかったですね","ကောင်းလိုက်တာနော်။ တော်သေးတာပေါ့","Minna_no_Nihongo_2::Lesson_37"
"埋め立てます","埋[う]め立[た]てます","မြေဖို့သည်။ (ပင်လယ်၊ မြစ်၊ ချောင်းများကို မြေဖို့ခြင်း)","Minna_no_Nihongo_2::Lesson_37"
"技術","技[ぎ]術[じゅつ]","နည်းပညာ","Minna_no_Nihongo_2::Lesson_37"
"土地","土[と]地[ち]","မြေ။ ခြံ","Minna_no_Nihongo_2::Lesson_37"
"騒音","騒[そう]音[おん]","ဆူညံသံ","Minna_no_Nihongo_2::Lesson_37"
"利用します","利[り]用[よう]します","အသုံးပြုသည်","Minna_no_Nihongo_2::Lesson_37"
"アクセス","アクセス","လမ်းပန်းဆက်သွယ်ရေး","Minna_no_Nihongo_2::Lesson_37"
"育てます","育[そだ]てます","ပြုစုပျိုးထောင်သည်","Minna_no_Nihongo_2::Lesson_38"
"運びます","運[はこ]びます","သယ်ဆောင်သည်","Minna_no_Nihongo_2::Lesson_38"
"亡くなります","亡[な]くなります","သေဆုံးသည်","Minna_no_Nihongo_2::Lesson_38"
"入院します","入[にゅう]院[いん]します","ဆေးရုံတက်သည်","Minna_no_Nihongo_2::Lesson_38"
"退院します","退[たい]院[いん]します","ဆေးရုံဆင်းသည်","Minna_no_Nihongo_2::Lesson_38"
"入れます","入[い]れます","ထည့်သည် (ပါဝါ)","Minna_no_Nihongo_2::Lesson_38"
"切ります","切[き]ります","ဖြတ်သည် (ပါဝါ)","Minna_no_Nihongo_2::Lesson_38"
"かけます","かけます","သော့ခတ်သည်","Minna_no_Nihongo_2::Lesson_38"
"気持ちがいい","気[き]持[も]ちがいい","စိတ်ကြည်နူးစရာကောင်းသော","Minna_no_Nihongo_2::Lesson_38"
"気持ちが悪い","気[き]持[も]ちが悪[わる]い","စိတ်မအီမသာဖြစ်သော","Minna_no_Nihongo_2::Lesson_38"
"大きな","大[おお]きな","ကြီးမားသော","Minna_no_Nihongo_2::Lesson_38"
